Frequency,Channel A
(Hz),(dBu)

82.79457688,-105.98590000
82.88770914,-112.72950000
82.98084140,-106.67250000
83.07397366,-105.67150000
83.16710591,-113.71200000
83.26023817,-111.09400000
83.35337043,-106.94640000
83.44650269,-115.07960000
83.53963494,-119.22710000
83.63276720,-109.40230000
83.72589946,-107.31270000
83.81903172,-109.28790000
83.91216397,-113.33830000
84.00529623,-111.05480000
84.09842849,-112.31750000
84.19156075,-102.72760000
84.28469300,-103.42150000
84.37782526,-102.63540000
84.47095752,-110.27740000
84.56408978,-111.42600000
84.65722203,-108.94550000
84.75035429,-108.67680000
84.84348655,-113.93710000
84.93661880,-116.49530000
85.02975106,-107.67050000
85.12288332,-107.16010000
85.21601558,-106.04420000
85.30914783,-116.09090000
85.40228009,-103.84460000
85.49541235,-99.45288000
85.58854461,-100.45670000
85.68167686,-99.07527000
85.77480912,-102.03100000
85.86794138,-106.69820000
85.96107364,-103.49660000
86.05420589,-105.52620000
86.14733815,-110.68690000
86.24047041,-104.55460000
86.33360267,-103.34980000
86.42673492,-103.66650000
86.51986718,-112.13450000
86.61299944,-103.97170000
86.70613170,-116.65810000
86.79926395,-115.69720000
86.89239621,-104.49380000
86.98552847,-106.18690000
87.07866073,-109.05460000
87.17179298,-113.52820000
87.26492524,-126.93890000
87.35805750,-107.56810000
87.45118976,-99.99741000
87.54432201,-102.17200000
87.63745427,-110.91760000
87.73058653,-105.91340000
87.82371879,-110.90740000
87.91685104,-105.17490000
88.00998330,-108.96170000
88.10311556,-103.50310000
88.19624782,-106.68610000
88.28938007,-108.54920000
88.38251233,-104.46650000
88.47564459,-105.11260000
88.56877685,-101.74210000
88.66190910,-103.86080000
88.75504136,-106.98380000
88.84817362,-105.91810000
88.94130588,-102.45110000
89.03443813,-113.67890000
89.12757039,-113.96920000
89.22070265,-116.75730000
89.31383491,-111.01270000
89.40696716,-106.96350000
89.50009942,-104.56830000
89.59323168,-109.55520000
89.68636394,-105.15430000
89.77949619,-99.86375000
89.87262845,-102.49990000
89.96576071,-104.58160000
90.05889297,-113.63660000
90.15202522,-110.82040000
90.24515748,-105.81660000
90.33828974,-104.70130000
90.43142200,-119.64980000
90.52455425,-106.01290000
90.61768651,-112.17630000
90.71081877,-115.75960000
90.80395103,-105.93350000
90.89708328,-104.19260000
90.99021554,-106.93160000
91.08334780,-105.34480000
91.17648005,-103.41380000
91.26961231,-103.75930000
91.36274457,-102.75870000
91.45587683,-107.95200000
91.54900908,-100.85060000
91.64214134,-103.89700000
91.73527360,-99.97546000
91.82840586,-104.97960000
91.92153811,-110.92040000
92.01467037,-108.54300000
92.10780263,-103.53040000
92.20093489,-112.38850000
92.29406714,-115.21730000
92.38719940,-111.28220000
92.48033166,-120.13060000
92.57346392,-103.64290000
92.66659617,-106.72260000
92.75972843,-106.40410000
92.85286069,-109.11170000
92.94599295,-107.63490000
93.03912520,-115.22610000
93.13225746,-107.39500000
93.22538972,-110.22650000
93.31852198,-102.99530000
93.41165423,-105.17840000
93.50478649,-110.24400000
93.59791875,-111.30990000
93.69105101,-103.58960000
93.78418326,-104.22000000
93.87731552,-102.20580000
93.97044778,-111.88130000
94.06358004,-104.61750000
94.15671229,-107.71120000
94.24984455,-114.52610000
94.34297681,-105.53160000
94.43610907,-105.99220000
94.52924132,-103.56770000
94.62237358,-106.02870000
94.71550584,-116.76370000
94.80863810,-107.87420000
94.90177035,-110.68170000
94.99490261,-106.07160000
95.08803487,-111.85150000
95.18116713,-110.61580000
95.27429938,-102.23150000
95.36743164,-101.83650000
95.46056390,-106.64000000
95.55369616,-109.70770000
95.64682841,-104.24720000
95.73996067,-102.27020000
95.83309293,-112.31920000
95.92622519,-106.47470000
96.01935744,-104.38830000
96.11248970,-107.41970000
96.20562196,-114.94390000
96.29875422,-116.79490000
96.39188647,-106.41060000
96.48501873,-101.60100000
96.57815099,-97.98077000
96.67128325,-104.28790000
96.76441550,-112.53050000
96.85754776,-111.89300000
96.95068002,-102.44450000
97.04381227,-106.30600000
97.13694453,-114.30490000
97.23007679,-106.23130000
97.32320905,-107.68280000
97.41634130,-108.74100000
97.50947356,-102.97620000
97.60260582,-108.92690000
97.69573808,-120.39020000
97.78887033,-110.06910000
97.88200259,-109.57980000
97.97513485,-105.28040000
98.06826711,-112.72390000
98.16139936,-118.77140000
98.25453162,-109.57230000
98.34766388,-120.18310000
98.44079614,-120.13820000
98.53392839,-107.84340000
98.62706065,-111.06920000
98.72019291,-116.65650000
98.81332517,-116.32540000
98.90645742,-107.33160000
98.99958968,-102.48480000
99.09272194,-109.62960000
99.18585420,-103.55410000
99.27898645,-106.52680000
